time,LB,UC
1,154.03604275151753,5.6000000000000005
2,151.11615026744335,7.084331077171381
3,151.30221922125082,7.372115478848304
4,151.53891120852754,6.760996790537696
5,151.70483148612587,8.89027496804368
6,150.70501645465754,8.247155648595774
7,148.7159737965257,10.54891846195902
8,151.08092483567825,12.46703538937686
9,149.48265948773596,11.802117472394825
10,148.85935140041866,12.725239916621875
11,149.95495732006296,15.38555959090252
12,146.59582304814157,14.06626127865968
13,146.15869635450855,15.651723126687264
14,147.95505601538906,14.819126607088393
15,148.29115814693498,17.07643616910896
16,146.56195426700017,19.40775377931782
17,146.73795741964568,19.824103723195865
18,146.31261348491833,20.221307568793225
19,145.98884279912338,19.911269068721626
20,145.04468005345763,20.952340929382647
21,144.68252101746216,21.992823209318832
22,144.68193291512796,21.589695717299133
23,146.6322450360902,22.599110055521844
24,146.36644634024157,22.12351476123432
25,146.21736405858704,17.879141216808605
26,146.4252961421145,20.290909090909093
27,146.26649965596602,18.92693641684515
28,148.09837131061408,21.32561750755046
29,148.2116000071455,22.954574596517787
30,146.29630721165876,20.726107888607167
31,145.62414074402383,20.764706760113175
32,149.56709809864276,20.005342469297556
33,145.83627883621676,22.29381408549174
34,147.18753252097332,21.47642321099418
35,146.32401014824228,20.634306223187345
36,149.10874539361018,21.291781339181423
37,147.72808466352606,20.401052060439902
38,147.41975805146882,20.243985454326108
39,148.27783271322366,22.289875970438207
40,143.88133075760197,25.734864384820547
41,144.46600232353157,28.340169399348483
42,144.94078368019464,21.516106139215736
43,146.22670760015694,24.03540831039116
44,145.9007988015603,25.051684320162934
45,148.09583176039595,23.26024560636951
46,144.84860812145342,24.181705250181267
47,144.93384187349048,19.102507021269123
48,145.5737423074075,17.419509377973586
49,150.1314409130636,17.04130829094288
50,145.87836477565557,19.119359401213114
51,147.33208481776416,18.66262626262626
52,145.64031609049988,15.84989574930562
53,145.5348696600249,13.724833053662548
54,148.4240087166802,12.80184833173395
55,145.98816011509572,11.36759473240267
56,149.28096629605088,10.521672035000329
57,147.4592365136107,9.197843430322724
58,148.82353003208,8.930124746030863
59,146.67921249853347,8.667806296946571
60,147.31355856806647,7.944988340780639
61,149.0809287821783,7.257927915490808
62,146.38591857616092,7.046857749986575
63,148.95521535562213,6.41781563471155
64,147.10754629377183,6.239608556294888
65,148.4021331158305,5.668058141385149
66,145.41968788472303,5.524236325081052
67,144.92319501145153,5.393136347657262
68,145.97233300155332,4.898848857505743
69,149.40951266660844,4.0643084941816605
70,148.12011348535412,4.721955868323352
71,149.33214353444492,4.655613805453631
72,147.2489135621251,4.6049115432438885
73,149.39417837507264,5.273602428042249
74,148.5187043258168,5.253220344663935
75,147.3411404437428,4.902584371205507
76,146.72117574329172,4.56969696969697
77,147.15619256422684,4.9592616471732
