time,LB1,LB2,UC
1,144.16706739667032,142.57909131079472,4.767437867394897
2,145.41279003849036,140.80366886870482,2.044114837298208
3,148.93126022271312,141.32614260148063,7.069851397585639
4,140.35488749517506,141.17899515081743,8.42875844422116
5,145.44242689743362,141.96360879011908,6.549120830405881
6,140.32296541294266,143.7338835557397,5.951915713965393
7,141.82962539888902,137.52724353367844,3.0773126502340835
8,145.17676357209862,140.99324820741035,4.492348145619694
9,147.53948728435105,144.3946702168459,5.5472166320486815
10,144.88611660399354,142.16113364667038,3.5851146033966286
11,141.36478817784445,143.64450099460848,4.309252104080871
12,149.0946029000661,134.74069946444922,6.824022094340524
13,149.10592803463936,143.9627684549361,5.935254239559267
14,145.99809850219464,144.81015184539245,4.499692482377074
15,148.2560878507339,139.6420471615585,1.6139156947410886
16,144.77968311199268,142.6959801476335,0.993820906213637
17,143.99163616024066,147.41932433285317,2.7541798510879656
18,147.5258711693106,138.89554043913856,4.476311544010206
19,136.85282663122103,143.29713673009954,6.656185569235406
20,144.05129658705238,141.68140383564392,6.422015846987317
21,142.60045169379197,138.6715741623389,7.534818788827515
22,143.92266632994662,144.84738465446642,0.9691355496795877
23,142.9832056280499,136.45693304874072,2.4158530344275913
24,139.59336948316465,141.92843645200443,7.28628856935876
25,140.83432775998696,137.82766541183346,3.7293617253846483
26,145.27850247162093,134.5972992692641,3.5073760173253703
27,146.26552916669803,137.50931043951073,4.981171953772281
28,149.21880651009835,142.4353260869534,4.595193447984806
29,143.5062793828921,136.48163339739648,3.771894545000401
30,143.51603248386343,144.2921208881425,6.611841342512157
31,148.72262479351204,139.3120422168812,4.334288519375651
32,148.30988552607658,148.4300683773661,4.905780414871115
33,139.9502107374801,139.02817061181565,5.311704664146521
34,141.2143866052142,143.47459141267157,6.37963350548918
35,145.3408676268736,142.35790886928137,0.8322298499896545
36,149.82247302922863,136.54029699634887,7.334989508719955
37,146.01430316603285,143.38589732691685,6.070421320656649
38,148.59299672753497,144.84890888467817,5.874620694140763
39,147.6645677613019,140.91897019800794,4.55363344019144
40,144.0335161831181,145.90720070788697,5.901553113773258
41,145.5711401115054,144.5902615366809,1.494910980887513
42,145.4437891510513,136.96364900649897,5.054747261796505
43,142.2867238458079,143.7830114506272,5.8495351226906624
44,150.64654058125168,136.19390586169396,6.416947920701248
45,146.91012363888964,142.58672422191543,2.549510071505213
46,140.78432162921894,137.0128587619159,5.987385926404888
47,144.2267031053092,134.66072748604543,7.583383006469809
48,139.79090124248117,140.40078646440915,3.882809587288184
49,147.1426190188651,137.6937029542229,3.651292370722638
50,140.67847300271492,138.59439408699623,3.735272105448671
51,145.17271822026342,137.50523824176128,6.221328987170582
52,145.92686281246046,136.1588733315206,4.909722616005178
